,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rush,Rush Yds,Rush TD,Rush Yds/Att,Rush Yds/G,Rush TD/G
493,DeAndre Washington,FBS,Big 12,Y,Texas Tech,Y,8.0,37,528,3045,20,5.8,82.3,0.5
494,DeMarcus Ware,FCS,SoCon,N,Samford,N,Undrafted,10,87,429,7,4.9,42.9,0.7
495,DeWayne McBride,FBS,CUSA,N,UAB,Y,15.0,30,484,3523,36,7.3,117.4,1.2
496,Dean Connors,FBS,AAC,N,Rice,N,Undrafted,13,121,771,7,6.4,59.3,0.5
497,Debrandon Sanders,FBS,FBS Independent,N,Navy,N,Undrafted,12,42,340,1,8.1,28.3,0.1
498,Dedrick Mills,FBS,Big Ten,Y,Nebraska,N,Undrafted,18,227,1141,13,5.0,63.4,0.7
499,Dedrick Parson,FBS,Mountain West,N,Hawaii,N,Undrafted,48,647,2994,33,4.6,62.4,0.7
500,Dee Hart,FBS,Mountain West,N,Colorado St.,N,Undrafted,13,194,1275,16,6.6,98.1,1.2
501,DeeJay Dallas,FBS,ACC,Y,Miami (FL),Y,13.0,23,224,1310,14,5.8,57.0,0.6
502,DeeWil Barlee,FCS,CAA,N,Villanova,N,Undrafted,45,442,2225,16,5.0,49.4,0.4
503,Deion Hankins,FBS,CUSA,N,UTEP,N,Undrafted,31,418,2105,17,5.0,67.9,0.5
504,Dejon Packer,FBS,Mountain West,N,San Jose St.,N,Undrafted,12,125,567,11,4.5,47.2,0.9
505,Dejoun Lee,FCS,CAA,N,Delaware,N,Undrafted,40,529,2447,15,4.6,61.2,0.4
506,Delvecchio Powell II,FCS,Pioneer,N,Presbyterian,N,Undrafted,29,316,1509,8,4.8,52.0,0.3
507,Demarco Corbin,FCS,MVFC,N,Illinois St.,N,Undrafted,12,96,473,4,4.9,39.4,0.3
508,Demarcus Rouse,FCS,Big South,N,Presbyterian,N,Undrafted,21,220,1073,10,4.9,51.1,0.5
509,Demario Richard,FBS,Pac-12,Y,Arizona St.,N,Undrafted,35,562,2718,22,4.8,77.7,0.6
510,Demetric Felton,FBS,Pac-12,Y,UCLA,Y,14.0,6,132,668,5,5.1,111.3,0.8
511,Demetrius Russell,FCS,Patriot,N,Colgate,N,Undrafted,35,469,2004,17,4.3,57.3,0.5
512,Demetrius Warren,FCS,Big Sky,N,Sacramento St.,N,Undrafted,11,108,506,2,4.7,46.0,0.2
513,Demichael Jackson,FCS,OVC,N,Southeast Mo. St.,N,Undrafted,21,307,1711,9,5.6,81.5,0.4
514,Demond Claiborne,FBS,ACC,Y,Wake Forest,N,Undrafted,10,137,586,5,4.3,58.6,0.5
515,Deneric Prince,FBS,AAC,N,Tulsa,N,Undrafted,26,314,1723,14,5.5,66.3,0.5
516,Dennis Merritt,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,20,272,1235,19,4.5,61.8,1.0
517,Denzel Knight,FCS,NEC,N,Wagner,N,Undrafted,22,226,1176,13,5.2,53.5,0.6
518,Denzel Williams,FCS,SoCon,N,Samford,N,Undrafted,22,309,1436,24,4.6,65.3,1.1
519,Deon Jackson,FBS,ACC,Y,Duke,N,Undrafted,36,494,2170,18,4.4,60.3,0.5
520,Deon McIntosh,FBS,Pac-12,Y,Washington St.,N,Undrafted,11,111,532,3,4.8,48.4,0.3
521,Deon Watts,FCS,SoCon,N,VMI,N,Undrafted,12,113,502,5,4.4,41.8,0.4
522,Deondre Johnson,FCS,SoCon,N,Mercer,N,Undrafted,15,136,846,7,6.2,56.4,0.5
523,Deonta McMahon,FCS,Southland,N,McNeese,N,Undrafted,27,337,2155,21,6.4,79.8,0.8
524,Deontae Howard,FCS,NEC,N,Robert Morris,N,Undrafted,11,147,592,4,4.0,53.8,0.4
525,Deontez Thompson,FCS,CAA,N,Richmond,N,Undrafted,13,188,1001,9,5.3,77.0,0.7
526,Derrick Craine,FCS,SoCon,N,Chattanooga,N,Undrafted,36,498,2800,29,5.6,77.8,0.8
527,Derrick Gore,FBS,Sun Belt,N,ULM,N,Undrafted,24,295,1247,12,4.2,52.0,0.5
528,Derrick Henry,FBS,SEC,Y,Alabama,Y,2.0,41,603,3591,42,6.0,87.6,1.0
529,Derrick Milton,FCS,Southland,N,McNeese,N,Undrafted,9,79,434,2,5.5,48.2,0.2
530,Derrick Ziglar,FCS,SoCon,N,VMI,N,Undrafted,22,257,1244,15,4.8,56.5,0.7
531,Derrius Guice,FBS,SEC,Y,LSU,Y,7.0,24,420,2638,26,6.3,109.9,1.1
532,Desean Brown,FCS,Patriot,N,Lafayette,N,Undrafted,9,154,580,5,3.8,64.4,0.6
533,Deshaun Fenwick,FBS,Pac-12,Y,Oregon St.,N,Undrafted,23,210,1068,12,5.1,46.4,0.5
534,Deshaun Wethington,FCS,CAA,N,Towson,N,Undrafted,10,75,438,1,5.8,43.8,0.1
535,Deshawn Jones,FCS,Pioneer,N,Campbell,N,Undrafted,28,335,2237,19,6.7,79.9,0.7
536,Deshawn McClease,FBS,ACC,Y,Virginia Tech,N,Undrafted,25,285,1373,10,4.8,54.9,0.4
537,Deshawn Salter,FCS,Ivy League,N,Yale,N,Undrafted,17,213,1105,14,5.2,65.0,0.8
538,Deshawn Smith,FCS,MEAC,N,Florida A&M,N,Undrafted,11,96,640,4,6.7,58.2,0.4
539,Desmond Reid,FCS,SoCon,N,Western Caro.,N,Undrafted,18,252,1723,17,6.8,95.7,0.9
540,Desmond Rice,FCS,Big South,N,Liberty,N,Undrafted,23,349,1597,25,4.6,69.4,1.1
541,Desmond Roland,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,24,379,1581,23,4.2,65.9,1.0
542,Destin Coates,FBS,Sun Belt,N,Georgia St.,N,Undrafted,20,248,1315,14,5.3,65.8,0.7
543,Detrez Newsome,FCS,SoCon,N,Western Caro.,N,Undrafted,43,620,3728,37,6.0,86.7,0.9
544,Deuce Vaughn,FBS,Big 12,Y,Kansas St.,Y,13.0,37,651,3604,34,5.5,97.4,0.9
545,Devante Mays,FBS,Mountain West,N,Utah St.,Y,22.0,13,165,966,9,5.9,74.3,0.7
546,Devin Abrams,FCS,SoCon,N,Furman,N,Undrafted,32,260,1257,9,4.8,39.3,0.3
547,Devin Bowers,FCS,MEAC,N,Florida A&M,N,Undrafted,27,326,1482,12,4.5,54.9,0.4
548,Devin Chafin,FBS,Big 12,Y,Baylor,N,Undrafted,10,121,578,9,4.8,57.8,0.9
549,Devin Church,FCS,OVC,N,Eastern Ill.,N,Undrafted,23,364,1809,16,5.0,78.7,0.7
550,Devin Matthews,FCS,CAA,N,Towson,N,Undrafted,21,238,1134,15,4.8,54.0,0.7
551,Devin Mockobee,FBS,Big Ten,Y,Purdue,N,Undrafted,25,367,1779,15,4.8,71.2,0.6
552,Devin Neal,FBS,Big 12,Y,Kansas,N,Undrafted,37,541,3077,33,5.7,83.2,0.9
553,Devin Singletary,FBS,CUSA,N,Fla. Atlantic,Y,5.0,38,714,4289,66,6.0,112.9,1.7
554,Devin Wynn,FCS,SoCon,N,Furman,N,Undrafted,38,503,2907,31,5.8,76.5,0.8
555,Devine Ozigbo,FBS,Big Ten,Y,Nebraska,N,Undrafted,22,284,1575,15,5.5,71.6,0.7
556,Devine Redding,FBS,Big Ten,Y,Indiana,N,Undrafted,26,479,2134,16,4.5,82.1,0.6
557,Devon Benn,FCS,SWAC,N,Southern U.,N,Undrafted,49,558,2672,21,4.8,54.5,0.4
558,Devon Johnson,FBS,CUSA,N,Marshall,N,Undrafted,21,300,2360,22,7.9,112.4,1.0
559,Devon Spalding,FBS,MAC,N,Central Mich.,N,Undrafted,11,138,758,6,5.5,68.9,0.5
560,Devon Starling,FCS,Big Sky,N,Northern Ariz.,N,Undrafted,39,560,2714,13,4.8,69.6,0.3
561,Devonta Freeman,FBS,ACC,Y,Florida St.,Y,7.0,14,173,1016,14,5.9,72.6,1.0
562,Devontae Booker,FBS,Pac-12,Y,Utah,Y,7.0,23,560,2773,21,5.0,120.6,0.9
563,Devontae Houston,FBS,FBS Independent,N,UConn,N,Undrafted,10,84,578,3,6.9,57.8,0.3
564,Devonte Lee,FBS,Mountain West,N,Nevada,N,Undrafted,9,82,427,2,5.2,47.4,0.2
565,Devonte Williams,FCS,Southland,N,Southeastern La.,N,Undrafted,12,136,599,8,4.4,49.9,0.7
566,Devwah Whaley,FBS,SEC,Y,Arkansas,N,Undrafted,25,237,1161,10,4.9,46.4,0.4
567,Dexter Williams,FBS,FBS Independent,N,Notre Dame,Y,17.0,9,158,995,12,6.3,110.6,1.3
568,Dezmon Jackson,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,11,100,547,4,5.5,49.7,0.4
569,Diandre Atwater,FCS,Ivy League,N,Princeton,N,Undrafted,9,97,457,2,4.7,50.8,0.2
570,Dillon Johnson,FBS,Pac-12,Y,Washington,N,Undrafted,25,322,1683,19,5.2,67.3,0.8
571,Dimitri Taylor,FCS,MVFC,N,Indiana St.,N,Undrafted,11,107,451,1,4.2,41.0,0.1
572,Diocemy Saint Juste,FBS,Mountain West,N,Hawaii,N,Undrafted,24,447,2516,10,5.6,104.8,0.4
573,Diquan Walker,FCS,Patriot,N,Holy Cross,N,Undrafted,11,78,411,3,5.3,37.4,0.3
574,Dom Williams,FCS,MVFC,N,UNI,N,Undrafted,29,320,1686,15,5.3,58.1,0.5
575,Domenic Cozier,FCS,Patriot,N,Holy Cross,N,Undrafted,22,311,1790,15,5.8,81.4,0.7
576,Dominic Franklin,FCS,SWAC,N,Texas Southern,N,Undrafted,11,115,538,4,4.7,48.9,0.4
577,Dominic Gonnella,FCS,MVFC,N,North Dakota St.,N,Undrafted,18,156,875,4,5.6,48.6,0.2
578,Dominic Richardson,FBS,Big 12,Y,Baylor,N,Undrafted,20,274,1062,9,3.9,53.1,0.4
579,Dominic Roberto,FCS,SoCon,N,Furman,N,Undrafted,36,475,2586,28,5.4,71.8,0.8
580,Dominick Bragalone,FCS,Patriot,N,Lehigh,N,Undrafted,44,849,4324,46,5.1,98.3,1.0
581,Dominick Pierre,FCS,Ivy League,N,Dartmouth,N,Undrafted,10,214,1064,13,5.0,106.4,1.3
582,Dominique Brown,FBS,AAC,N,Louisville,N,Undrafted,13,163,825,8,5.1,63.5,0.6
583,Dominique Drake,FCS,MEAC,N,N.C. A&T,N,Undrafted,11,112,390,5,3.5,35.5,0.5
584,Dominique Johnson,FBS,SEC,Y,Arkansas,N,Undrafted,13,97,575,7,5.9,44.2,0.5
585,Dominique Thomas,FCS,Southland,N,Central Ark.,N,Undrafted,8,118,601,5,5.1,75.1,0.6
586,Dominique Williams,FCS,NEC,N,Wagner,N,Undrafted,11,258,1127,6,4.4,102.5,0.5
587,Don Jackson,FBS,Mountain West,N,Nevada,N,Undrafted,26,446,2038,15,4.6,78.4,0.6
588,Donald Chaney Jr.,FBS,ACC,Y,Miami (FL),N,Undrafted,11,94,478,2,5.1,43.5,0.2
589,Donald Liotine,FCS,CAA,N,Stony Brook,N,Undrafted,35,529,2567,21,4.9,73.3,0.6
590,Donavan Williams,FCS,Southland,N,Sam Houston,N,Undrafted,16,123,658,9,5.3,41.1,0.6
591,Donavyn Lester,FBS,Mountain West,N,UNLV,N,Undrafted,31,267,1523,22,5.7,49.1,0.7
592,Dondre Brown,FCS,MEAC,N,South Carolina St.,N,Undrafted,9,65,284,2,4.4,31.6,0.2
593,Dondre Lewis-Freeman,FCS,MEAC,N,South Carolina St.,N,Undrafted,11,110,409,4,3.7,37.2,0.4
594,Donerio Davenport,FBS,Sun Belt,N,Texas St.,N,Undrafted,13,90,458,2,5.1,35.2,0.2
595,Donnavan Spencer,FCS,MVFC,N,Southern Ill.,N,Undrafted,42,431,2211,20,5.1,52.6,0.5
596,Donnel Pumphrey,FBS,Mountain West,N,San Diego St.,Y,12.0,54,1059,6405,62,6.0,118.6,1.1
597,Donnell Alexander,FBS,MAC,N,Akron,N,Undrafted,22,178,927,5,5.2,42.1,0.2
598,Donovan Eaglin,FCS,SWAC,N,Alabama A&M,N,Undrafted,21,312,1636,13,5.2,77.9,0.6
599,Donovan Edwards,FBS,Big Ten,Y,Michigan,N,Undrafted,26,259,1488,12,5.7,57.2,0.5
600,Donovan Johnson,FCS,SoCon,N,Wofford,N,Undrafted,10,192,854,4,4.4,85.4,0.4
601,Donovan Williams,FCS,Southland,N,Sam Houston,N,Undrafted,12,205,925,14,4.5,77.1,1.2
602,Donovonn Young,FBS,Big Ten,Y,Illinois,N,Undrafted,11,93,376,3,4.0,34.2,0.3
603,Dontae McMillan,FCS,Big Sky,N,Weber St.,N,Undrafted,30,283,1651,15,5.8,55.0,0.5
604,Dontae Smith,FBS,ACC,Y,Georgia Tech,N,Undrafted,11,100,504,4,5.0,45.8,0.4
605,Dontae Strickland,FBS,ACC,Y,Syracuse,N,Undrafted,25,283,1165,10,4.1,46.6,0.4
606,Dontel James,FBS,Mountain West,N,Fresno St.,N,Undrafted,11,208,697,5,3.4,63.4,0.5
607,Dontrell Hilliard,FBS,AAC,N,Tulane,N,Undrafted,36,460,2496,27,5.4,69.3,0.8
608,Dontrell Taylor,FCS,Southland,N,Nicholls,N,Undrafted,26,326,1871,17,5.7,72.0,0.7
609,Dorian Boyland,FCS,Pioneer,N,Drake,N,Undrafted,23,336,1380,12,4.1,60.0,0.5
610,Dorian Brown,FBS,MAC,N,Ohio,N,Undrafted,25,269,1582,15,5.9,63.3,0.6
611,Doroland Dorceus,FBS,AAC,N,Memphis,N,Undrafted,26,287,1471,17,5.1,56.6,0.7
612,Dorrel McClain,FCS,MEAC,N,N.C. Central,N,Undrafted,21,266,1442,15,5.4,68.7,0.7
613,Dra Rushton,FCS,MVFC,N,Youngstown St.,N,Undrafted,12,163,664,9,4.1,55.3,0.8
614,Drake Anderson,FBS,Big Ten,Y,Northwestern,N,Undrafted,12,154,634,3,4.1,52.8,0.2
615,Draycen Hall,FCS,Big Sky,N,Northern Ariz.,N,Undrafted,16,181,787,3,4.3,49.2,0.2
616,Dre Brown,FBS,Big Ten,Y,Illinois,N,Undrafted,13,113,584,5,5.2,44.9,0.4
617,Dre'lyn Washington,FBS,Sun Belt,N,Louisiana,N,Undrafted,10,92,515,2,5.6,51.5,0.2
618,Dreamius Smith,FBS,Big 12,Y,West Virginia,N,Undrafted,12,103,494,5,4.8,41.2,0.4
619,Dreshawn Minnieweather,FCS,Southland,N,Houston Christian,N,Undrafted,18,188,1251,12,6.7,69.5,0.7
620,Drew Hernandez,FCS,Big Sky,N,Cal Poly,N,Undrafted,10,60,453,0,7.6,45.3,0.0
621,Drew Jean-Guillaume,FCS,NEC,N,Central Conn. St.,N,Undrafted,22,223,1306,13,5.9,59.4,0.6
622,Drew Lauer,FCS,Pioneer,N,Drake,N,Undrafted,22,376,1638,15,4.4,74.5,0.7
623,Dri Archer,FBS,MAC,N,Kent St.,N,Undrafted,10,68,527,6,7.8,52.7,0.6
624,Dré Nelson,FCS,Ivy League,N,Princeton,N,Undrafted,9,44,287,3,6.5,31.9,0.3
625,Duane Brady,FCS,OVC,N,Murray St.,N,Undrafted,10,87,471,6,5.4,47.1,0.6
626,Duke Catalon,FBS,AAC,N,Houston,N,Undrafted,21,294,1165,12,4.0,55.5,0.6
627,Duke Johnson,FBS,ACC,Y,Miami (FL),Y,6.0,21,387,2572,16,6.6,122.5,0.8
628,Duvante Lane,FCS,Pioneer,N,Butler,N,Undrafted,22,280,1309,16,4.7,59.5,0.7
629,Duy Tran-Sampson,FCS,Big Sky,N,Cal Poly,N,Undrafted,11,235,1037,8,4.4,94.3,0.7
630,Dwayne Garrett,FCS,MEAC,N,Hampton,N,Undrafted,11,87,478,2,5.5,43.5,0.2
631,Dwayne Washington,FBS,Pac-12,Y,Washington,Y,17.0,13,132,697,9,5.3,53.6,0.7
632,Dy'Shawn Mobley,FCS,OVC,N,Eastern Ky.,N,Undrafted,13,258,1491,20,5.8,114.7,1.5
633,Dylan Carson,FBS,Mountain West,N,Air Force,N,Undrafted,9,68,493,2,7.2,54.8,0.2
634,Dylan Laube,FCS,CAA,N,New Hampshire,Y,18.0,31,485,2459,28,5.1,79.3,0.9
635,Dylan Long,FCS,Southland,N,McNeese,N,Undrafted,13,79,335,10,4.2,25.8,0.8
636,Dylan McDuffie,FBS,MAC,N,Buffalo,N,Undrafted,12,206,1049,11,5.1,87.4,0.9
637,Dylan Sampson,FBS,SEC,Y,Tennessee,N,Undrafted,12,106,604,7,5.7,50.3,0.6
638,Dylan Sparks,FCS,Pioneer,N,Davidson,N,Undrafted,30,457,2288,18,5.0,76.3,0.6
639,Ean Beek,FCS,Southland,N,Houston Christian,N,Undrafted,12,132,660,4,5.0,55.0,0.3
640,Earl Harrison,FCS,OVC,N,Tennessee St.,N,Undrafted,8,73,475,2,6.5,59.4,0.2
641,Eden James,FCS,MEAC,N,Howard,N,Undrafted,21,186,1033,4,5.6,49.2,0.2
642,Edward Saydee,FBS,AAC,N,Temple,N,Undrafted,12,149,639,6,4.3,53.2,0.5
643,Elad Covaliu,FCS,Patriot,N,Holy Cross,N,Undrafted,9,61,290,1,4.8,32.2,0.1
644,Elelyon Noa,FBS,Mountain West,N,Utah St.,N,Undrafted,14,138,597,4,4.3,42.6,0.3
645,Eli Sanders,FBS,Big 12,Y,Iowa St.,N,Undrafted,9,102,477,4,4.7,53.0,0.4
646,Eli Turner,FCS,Pioneer,N,Davidson,N,Undrafted,11,72,509,2,7.1,46.3,0.2
647,Eli Turner Jr.,FCS,Pioneer,N,Davidson,N,Undrafted,19,111,662,4,6.0,34.8,0.2
648,Elijah Barnwell,FCS,CAA,N,Maine,N,Undrafted,20,250,1144,11,4.6,57.2,0.6
649,Elijah Burris,FCS,CAA,N,Hampton,N,Undrafted,19,236,1443,12,6.1,75.9,0.6
650,Elijah Collins,FBS,Big Ten,Y,Michigan St.,N,Undrafted,13,222,988,5,4.5,76.0,0.4
651,Elijah Davis,FBS,CUSA,N,Old Dominion,N,Undrafted,13,105,562,6,5.4,43.2,0.5
652,Elijah Dotson,FCS,Big Sky,N,Northern Colo.,N,Undrafted,45,631,3304,27,5.2,73.4,0.6
653,Elijah Elliott,FCS,Big Sky,N,Montana St.,N,Undrafted,14,118,726,1,6.2,51.9,0.1
654,Elijah Green,FBS,ACC,Y,North Carolina,N,Undrafted,14,131,558,8,4.3,39.9,0.6
655,Elijah Holyfield,FBS,SEC,Y,Georgia,N,Undrafted,14,159,1018,7,6.4,72.7,0.5
656,Elijah Hood,FBS,ACC,Y,North Carolina,Y,24.0,25,364,2321,25,6.4,92.8,1.0
657,Elijah Howard,FCS,NEC,N,Central Conn. St.,N,Undrafted,11,170,990,5,5.8,90.0,0.5
658,Elijah Ibitokun-Hanks,FCS,SoCon,N,Chattanooga,N,Undrafted,41,624,3394,28,5.4,82.8,0.7
659,Elijah Mack,FCS,Southland,N,McNeese,N,Undrafted,9,127,558,4,4.4,62.0,0.4
660,Elijah McGuire,FBS,Sun Belt,N,Louisiana,Y,20.0,51,711,4312,42,6.1,84.5,0.8
661,Elijah Mitchell,FBS,Sun Belt,N,Louisiana,Y,10.0,38,484,3002,37,6.2,79.0,1.0
662,Elijah Tau-Tolliver,FCS,Big Sky,N,Sacramento St.,N,Undrafted,13,64,387,7,6.0,29.8,0.5
663,Elijah Young,FBS,CUSA,N,Western Ky.,N,Undrafted,13,104,474,3,4.6,36.5,0.2
664,Elijhaa Penny,FBS,Sun Belt,N,Idaho,N,Undrafted,23,385,1753,22,4.6,76.2,1.0
665,Elisha Cummings,FCS,Big Sky,N,Idaho,N,Undrafted,21,156,802,5,5.1,38.2,0.2
666,Elliot Croskey,FCS,CAA,N,UAlbany,N,Undrafted,11,141,523,4,3.7,47.5,0.4
667,Ellis Merriweather,FBS,FBS Independent,N,Massachusetts,N,Undrafted,22,368,1713,8,4.7,77.9,0.4
668,Emani Bailey,FBS,Big 12,Y,TCU,N,Undrafted,23,318,1824,16,5.7,79.3,0.7
669,Emari Demercado,FBS,Big 12,Y,TCU,N,Undrafted,15,121,681,6,5.6,45.4,0.4
670,Emeka Nwanze,FCS,SoCon,N,The Citadel,N,Undrafted,3,43,158,0,3.7,52.7,0.0
671,Emilio Martinez,FCS,Pioneer,N,San Diego,N,Undrafted,50,642,3173,28,4.9,63.5,0.6
672,Emmanuel Reed,FCS,CAA,N,Maine,N,Undrafted,24,309,1307,14,4.2,54.5,0.6
673,Eno Benjamin,FBS,Pac-12,Y,Arizona St.,Y,15.0,25,553,2725,26,4.9,109.0,1.0
674,Eric Carter,FCS,MEAC,N,Hampton,N,Undrafted,11,102,505,5,5.0,45.9,0.5
675,Eric Carter Jr.,FCS,MEAC,N,Hampton,N,Undrafted,12,94,541,3,5.8,45.1,0.2
676,Eric Gray,FBS,Big 12,Y,Oklahoma,Y,11.0,34,471,2677,19,5.7,78.7,0.6
677,Eric Harrell,FCS,MEAC,N,Morgan St.,N,Undrafted,11,107,625,5,5.8,56.8,0.5
678,Eric Wilkes,FCS,Big Sky,N,Weber St.,N,Undrafted,11,153,662,5,4.3,60.2,0.5
679,Eric Zokouri,FCS,Big South,N,Monmouth,N,Undrafted,5,73,497,6,6.8,99.4,1.2
680,Erick Evans,FCS,OVC,N,Tennessee St.,N,Undrafted,20,207,1010,10,4.9,50.5,0.5
681,Essray Taliaferro,FBS,CUSA,N,Marshall,N,Undrafted,14,221,1140,10,5.2,81.4,0.7
682,Ethan Thomas,FCS,OVC,N,Eastern Ky.,N,Undrafted,9,82,498,4,6.1,55.3,0.4
683,Eugene Bethea,FCS,Southland,N,Southeastern La.,N,Undrafted,9,113,596,5,5.3,66.2,0.6
684,Evan Gray,FCS,CAA,N,New Hampshire,N,Undrafted,24,289,1296,12,4.5,54.0,0.5
685,Evan Hull,FBS,Big Ten,Y,Northwestern,Y,12.0,24,417,1922,12,4.6,80.1,0.5
686,Evan McField,FCS,SoCon,N,The Citadel,N,Undrafted,13,72,416,3,5.8,32.0,0.2
687,Ezekiel Elliott,FBS,Big Ten,Y,Ohio St.,Y,1.0,28,562,3699,41,6.6,132.1,1.5
688,Ezekiel Graham,FCS,Big Sky,N,Sacramento St.,N,Undrafted,9,94,373,2,4.0,41.4,0.2
689,Ezra Gray,FCS,SWAC,N,Alabama St.,N,Undrafted,25,343,1494,7,4.4,59.8,0.3
690,Fabian Truss,FCS,SoCon,N,Samford,N,Undrafted,12,167,877,8,5.3,73.1,0.7
691,Fabrice Mukendi,FCS,OVC,N,Bryant,N,Undrafted,19,193,1044,14,5.4,54.9,0.7
692,Faysal Aden,FCS,CAA,N,UAlbany,N,Undrafted,15,112,470,2,4.2,31.3,0.1
693,Fitzgerald Toussaint,FBS,Big Ten,Y,Michigan,N,Undrafted,12,185,648,13,3.5,54.0,1.1
694,Floyd Chalk,FCS,SWAC,N,Grambling,N,Undrafted,11,125,697,9,5.6,63.4,0.8
695,Frank Gore,FBS,Sun Belt,N,Southern Miss.,N,Undrafted,47,759,4022,26,5.3,85.6,0.6
696,Frank Peasant,FBS,CUSA,N,Middle Tenn.,N,Undrafted,13,182,777,9,4.3,59.8,0.7
697,Frankie Hickson,FBS,FBS Independent,N,Liberty,N,Undrafted,24,281,1491,16,5.3,62.1,0.7
698,Frantz Caudio,FCS,Pioneer,N,Jacksonville,N,Undrafted,11,64,441,7,6.9,40.1,0.6
699,Fred Coppet,FBS,MAC,N,Bowling Green,N,Undrafted,39,490,2619,19,5.3,67.2,0.5
700,Fred Davis,FCS,SoCon,N,Mercer,N,Undrafted,19,237,1120,16,4.7,58.9,0.8
701,Freddie Brock,FCS,CAA,N,Maine,N,Undrafted,15,161,885,8,5.5,59.0,0.5
702,Gabe Guild,FCS,Patriot,N,Holy Cross,N,Undrafted,30,325,1550,12,4.8,51.7,0.4
703,Gabe Manzanares,FCS,Big Sky,N,UC Davis,N,Undrafted,20,408,2116,15,5.2,105.8,0.8
704,Gaej Walker,FBS,CUSA,N,Western Ky.,N,Undrafted,25,384,1853,11,4.8,74.1,0.4
705,Gaige Garcia,FCS,Patriot,N,Lehigh,N,Undrafted,11,129,618,4,4.8,56.2,0.4
706,Garnett Nicholas,FCS,Pioneer,N,Jacksonville,N,Undrafted,23,280,1478,11,5.3,64.3,0.5
707,Garrett Atzenweiler,FCS,Southland,N,Northwestern St.,N,Undrafted,23,283,1270,15,4.5,55.2,0.7
708,Garrett Clay,FCS,Pioneer,N,Marist,N,Undrafted,11,101,411,4,4.1,37.4,0.4
709,Garrett Owens,FCS,NEC,N,Duquesne,N,Undrafted,15,218,1018,10,4.7,67.9,0.7
710,Gary Brightwell,FBS,Pac-12,Y,Arizona,Y,11.0,16,179,915,4,5.1,57.2,0.2
711,Gary Quarles,FCS,SWAC,N,Southern U.,N,Undrafted,25,373,1661,17,4.5,66.4,0.7
712,Gary Scott Jr.,FCS,Pioneer,N,Drake,N,Undrafted,11,159,686,3,4.3,62.4,0.3
713,Gaven Ziebarth,FCS,MVFC,N,North Dakota,N,Undrafted,10,107,700,9,6.5,70.0,0.9
714,Gavin Garcia,FBS,MAC,N,Kent St.,N,Undrafted,11,138,544,2,3.9,49.5,0.2
715,Gavin Williams,FBS,MAC,N,NIU,N,Undrafted,13,95,488,3,5.1,37.5,0.2
716,Gene Sledge Jr,FCS,Big Sky,N,Northern Colo.,N,Undrafted,9,134,482,4,3.6,53.6,0.4
717,Geno Hess,FCS,OVC,N,Southeast Mo. St.,N,Undrafted,52,863,5054,63,5.9,97.2,1.2
718,Geoffrey Whiteside,FBS,FBS Independent,N,Navy,N,Undrafted,10,49,363,3,7.4,36.3,0.3
719,George Atkinson III,FBS,FBS Independent,N,Notre Dame,N,Undrafted,12,93,555,3,6.0,46.2,0.2
720,George Golden,FCS,SWAC,N,Alabama St.,N,Undrafted,11,82,406,1,5.0,36.9,0.1
721,George Holani,FBS,Mountain West,N,Boise St.,N,Undrafted,44,666,3488,25,5.2,79.3,0.6
722,George Morris III,FBS,ACC,Y,Syracuse,N,Undrafted,10,79,334,1,4.2,33.4,0.1
723,George Robinson,FCS,Big Sky,N,Northern Ariz.,N,Undrafted,5,52,188,2,3.6,37.6,0.4
724,Gerald Green,FBS,Sun Belt,N,Ga. Southern,N,Undrafted,19,160,927,8,5.8,48.8,0.4
725,Gerald Hearns,FCS,MEAC,N,Florida A&M,N,Undrafted,12,131,500,0,3.8,41.7,0.0
726,Gerald Holmes,FBS,Big Ten,Y,Michigan St.,N,Undrafted,13,110,540,8,4.9,41.5,0.6
727,Gerard Johnson,FCS,MEAC,N,Norfolk St.,N,Undrafted,20,207,837,3,4.0,41.8,0.2
728,Gerard Wicks,FBS,Pac-12,Y,Washington St.,N,Undrafted,13,107,610,3,5.7,46.9,0.2
729,Germi Morrison,FBS,FBS Independent,N,New Mexico St.,N,Undrafted,9,109,471,4,4.3,52.3,0.4
730,Gerold Bright,FBS,Mountain West,N,Utah St.,N,Undrafted,26,323,1809,19,5.6,69.6,0.7
731,Gerrid Doaks,FBS,AAC,N,Cincinnati,Y,17.0,30,331,1712,14,5.2,57.1,0.5
732,Gino Appleberry,FCS,SoCon,N,Chattanooga,N,Undrafted,28,322,1373,13,4.3,49.0,0.5
733,Glasco Martin,FBS,Big 12,Y,Baylor,N,Undrafted,10,120,509,7,4.2,50.9,0.7
734,Glenmour Leonard-Osbourne,FCS,Pioneer,N,Marist,N,Undrafted,10,69,405,3,5.9,40.5,0.3
735,Grant Drakeford,FCS,SoCon,N,The Citadel,N,Undrafted,11,63,602,2,9.6,54.7,0.2
736,Greg Bell,FBS,Mountain West,N,San Diego St.,N,Undrafted,21,358,1728,15,4.8,82.3,0.7
737,Greg Howell,FBS,CUSA,N,Fla. Atlantic,N,Undrafted,36,412,2166,21,5.3,60.2,0.6
